,Area,Branch,Address
300,서초구,영동2교,"서울특별시 서초구 논현로 139, 대흥빌딩 (양재동)"
301,서초구,신논현역,서울특별시 서초구 강남대로 483 (반포동) 청호빌딩
302,서초구,하이브랜드,"서울특별시 서초구 매헌로 16, 리빙관 101호 (양재동)"
303,서초구,교대,서울특별시 서초구 서초중앙로 118 (서초동)
304,서초구,강남2,"서울특별시 서초구 서초대로77길 27, 유빌딩 1,2층 (서초동)"
305,서초구,뉴코아강남,서울특별시 서초구 잠원로 69 (잠원동) 킴스클럽
306,서초구,남부터미널,"서울특별시 서초구 서초중앙로 26, 래미안서초유니빌 1층 101호 (서초동)"
307,서초구,반포역,서울특별시 서초구 신반포로 257 (잠원동) 신반포11차상가
308,서초구,방배역,서울특별시 서초구 방배로 84 (방배동)
309,서초구,강남삼성타운,서울특별시 서초구 서초대로78길 24 (서초동)
310,서초구,센트럴시티,서울특별시 서초구 신반포로 176 (반포동)
311,서초구,서초중앙로,서울특별시 서초구 서초중앙로 225
312,서초구,서울아트센터,서울특별시 서초구 남부순환로 2395 (서초동) 호경빌딩
313,서초구,서초파라곤,서울특별시 서초구 서초대로74길 29 (서초동) 서초파라곤
314,서초구,내방역,서울특별시 서초구 방배로 184 (방배동) 대풍빌딩
315,서초구,이수역,서울특별시 서초구 동작대로 112 (방배동)
316,서초구,논현역,서울특별시 서초구 강남대로 557 (잠원동) 1~2층
317,서초구,양재역,서울특별시 서초구 강남대로 202 (양재동) 모산빌딩
318,서초구,교대역,서울특별시 서초구 서초중앙로 138 (서초동) 우림빌딩
319,서초구,파미에파크R,서울특별시 서초구 사평대로 205 (반포동) CENTRALCITY
320,서초구,사당로데오,서울특별시 서초구 방배천로 5-4(방배동)
321,서초구,청계산입구역,서울특별시 서초구 청계산로 203 (신원동)
322,서초구,서초법원,서울특별시 서초구 서초대로 274 (서초동)
323,서초구,방배카페거리,서울특별시 서초구 방배중앙로 162 (방배동)
324,서초구,방배,서울특별시 서초구 방배로 211
325,서초구,강남대로논현R,서울특별시 서초구 강남대로85길 5 (반포동)
326,서초구,서울고속터미널,서울특별시 서초구 신반포로 194 (반포동)
327,서초구,강남대로신사,서울특별시 서초구 강남대로 595 (잠원동)
328,서초구,이수역사거리,"서울특별시 서초구 서초대로 3-4 (방배동, 방배디오슈페리움1)"
329,서초구,서초우성사거리,서울특별시 서초구 강남대로 343 (서초동)
330,서초구,서초구청,서울특별시 서초구 남부순환로 2557 (서초동)
331,서초구,서초역이화빌딩,서울특별시 서초구 반포대로21길 3 (서초동)
332,서초구,센트럴F1,서울특별시 서초구 신반포로 176 (반포동)
333,서초구,방배다이치빌딩,서울특별시 서초구 방배로 114 (방배동)
334,서초구,강남교보타워R,서울특별시 서초구 강남대로 465 (서초동)
335,서초구,방배로,서울특별시 서초구 방배로 52 (방배동)
336,성동구,성수낙낙,서울특별시 성동구 광나루로8길 31 (성수동2가) 성수낙낙 1층 101~107호
337,성동구,옥수,서울특별시 성동구 독서당로 202 (옥수동)
338,성동구,성수,서울특별시 성동구 아차산로 104 (성수동2가)
339,성동구,성수이마트,서울특별시 성동구 뚝섬로 379 (성수동2가) 이마트 성수점
340,성동구,엔터식스,서울특별시 성동구 왕십리광장로 17 (행당동)
341,성동구,한양대,"서울특별시 성동구 왕십리로 225 (행당동) 1,2층"
342,성동구,왕십리역,서울특별시 성동구 왕십리로 326 (도선동)
343,성동구,상왕십리역,서울특별시 성동구 왕십리로 382 (하왕십리동)
344,성동구,성수역,서울특별시 성동구 성수이로 94 (성수동2가)
345,성동구,황학사거리,"서울특별시 성동구 왕십리로 410 (하왕십리동, 센트라스)"
346,성동구,뚝섬역,서울특별시 성동구 아차산로 42 (성수동1가)
347,성동구,금호역,서울특별시 성동구 동호로 99 (금호동4가)
