index,Area,Branch,Address
7,금천구,가산오거리점,"서울 금천구 가산로 155 (가산동, 케이디에스빌딩)"
8,금천구,가산월드점,서울 금천구 가산디지털2로 123 (가산동)
9,금천구,가산하이엔드10차점,"서울 금천구 가산디지털1로 30 (가산동, 에이스하이엔드타워10)"
10,금천구,금천롯데마트점,"서울 금천구 시흥대로 291 (독산동, 금천롯데캐슬골드파크3차)"
11,금천구,독산동쌈지공원점,서울 금천구 독산로 276 (독산동)
12,금천구,독산동점,"서울 금천구 독산로 218 (독산동, 창영빌딩)"
13,금천구,독산롯데시네마점,서울 금천구 시흥대로 399 (독산동)
14,금천구,박미삼거리점,서울 금천구 시흥대로 150 (시흥동)
15,금천구,석수푸르지오점,"서울 금천구 삼성산길 11 (시흥동, 위너스타워)"
16,금천구,세광교회점,서울 금천구 독산로 124 (시흥동)
17,금천구,시흥동점,서울 금천구 시흥동 890-10
18,금천구,시흥사거리점,서울 금천구 시흥대로63길 8 (시흥동)
19,금천구,시흥유통센터점,"서울 금천구 시흥대로 88 (시흥동, 오복빌딩)"
20,금천구,시흥중앙점,서울 금천구 금하로 748 (시흥동)
21,금천구,에이스가산포휴점,"서울 금천구 가산디지털1로 225 (가산동, 에이스 가산 포휴(지식산업센터))"
22,금천구,은행나무사거리점,서울 금천구 금하로 690 (시흥동)
0,노원구,공릉역점,서울 노원구 동일로192길 5 (공릉동)
1,노원구,공릉중앙점,서울 노원구 공릉로 146 (공릉동)
2,노원구,광운대점,서울 노원구 광운로 29 (월계동)
3,노원구,노원KT점,서울 노원구 노해로 494 (상계동)
4,노원구,노원사거리점,서울 노원구 동일로 1393 (상계동)
5,노원구,노원역2호점,서울 노원구 상계로 64 (상계동)
6,노원구,노원중앙점,서울 노원구 노원로 452 (상계동)
7,노원구,당고개역점,서울 노원구 상계로 313 (상계동)
8,노원구,마들역점,서울 노원구 동일로 1541 (상계동)
9,노원구,상계동점,서울 노원구 한글비석로52길 8 (상계동)
10,노원구,상계역사거리점,서울 노원구 한글비석로 409 (상계동) 1~2층
11,노원구,상계역점,서울 노원구 덕릉로 698 (중계동)
