index,Name,Address,Brand,Gasoline_P,Diesel_P,SELF_YN,CWASH_YN,LPG_YN,MAINT_YN,CVS_YN,SEL24_YN,Area
306,'남성대주유소','서울 송파구 송파대로 52 (장지동)','SKE','1673','1853','Y','Y','','Y','N','Y',송파구
307,'상아주유소','서울 송파구 거마로 82','SOL','1673','1853','Y','Y','','N','N','N',송파구
308,'현대오일뱅크㈜직영 잠실셀프주유소','서울 송파구 송파대로 397 (석촌동)','HDO','1675','1859','Y','N','','N','N','Y',송파구
309,'삼화주유소','서울 송파구 백제고분로 125','GSC','1675','1860','Y','N','','N','N','Y',송파구
310,'(주)삼표에너지 아시아주유소','서울 송파구 도곡로 438 (잠실동)','GSC','1675','1860','Y','Y','','N','N','N',송파구
311,'지에스이앤알 직영 송파제일주유소','서울 송파구 삼학사로 50 (석촌동)','HDO','1675','1859','Y','Y','','Y','N','Y',송파구
312,'삼전셀프주유소','서울 송파구 백제고분로 199','SKE','1675','1878','Y','Y','','N','N','Y',송파구
313,'완불주유소','서울 송파구 송파대로 3 (장지동)','SKE','1675','1862','Y','Y','','N','N','Y',송파구
314,'한강에너지(주)퍼스트주유소','서울 송파구 삼학사로 22 (석촌동)','SKE','1677','1860','Y','Y','','Y','N','N',송파구
315,'방이주유소','서울 송파구 위례성대로12길 38 (방이동)','SKE','1678','1878','N','Y','','Y','N','N',송파구
316,'(주)뉴명성산업 남성주유소','서울 송파구 백제고분로 474 (방이동)','HDO','1678','1889','N','Y','','N','N','N',송파구
317,'백제고분로주유소','서울 송파구 오금로 143 (방이동)','SKE','1678','1878','Y','Y','','Y','Y','Y',송파구
318,'(주)잠실에너지','서울 송파구 송파대로 442 (송파동)','SOL','1678','1879','Y','Y','','Y','N','Y',송파구
319,'제트라인DM주유소','서울 송파구 중대로 183 (가락동)','HDO','1688','1869','N','N','','Y','N','N',송파구
320,'(주)신화에너지 서울지점','서울 송파구 가락로 47 (석촌동)','SKE','1688','1879','Y','Y','','Y','N','Y',송파구
321,'대성주유소','서울 송파구 마천로 230 (마천동)','SKE','1688','1868','N','Y','','N','N','N',송파구
322,'(주)삼표에너지 우리주유소','서울 송파구 동남로 153','GSC','1695','1855','N','Y','','N','N','N',송파구
323,'(주)삼표에너지 훼미리주유소','서울 송파구 중대로 58 (문정동)','GSC','1697','1878','N','Y','','N','N','N',송파구
324,'송파주유소','서울 송파구 송이로 28 (송파동)','GSC','1697','1889','Y','N','','Y','N','N',송파구
325,'현대오일뱅크㈜직영 올림픽셀프주유소','서울 송파구 위례성대로 188 (오금동)','HDO','1698','1868','Y','Y','','Y','Y','Y',송파구
326,'(주)정직한주유소','서울 송파구 오금로 455 (거여동)','HDO','1698','1878','Y','Y','','N','N','N',송파구
327,'현대오일뱅크㈜직영 서원주유소','서울 송파구 중대로 154 (가락동)','HDO','1698','1868','N','Y','','N','N','N',송파구
328,'(주)유진주유소','서울 송파구 동남로 325 (오금동)','SKE','1698','1878','N','Y','','N','N','N',송파구
329,'지에스칼텍스(주)스마트위례주유소','서울 송파구 위례중앙로 43 (장지동)','GSC','1703','1934','Y','Y','','N','N','N',송파구
330,'지에스칼텍스(주)가든파이브주유소','서울 송파구 탄천동로 740','GSC','1703','1934','Y','Y','','N','Y','Y',송파구
331,'대성석유(주)석촌주유소','서울 송파구 백제고분로 289','GSC','1718','1915','N','N','','Y','N','N',송파구
332,'(주)퍼스트오일서울주유소','서울 송파구 문정로 153','SOL','1758','1890','N','N','','N','N','N',송파구
333,'대신석유(주)진양주유소','서울 송파구 올림픽로 499 (풍납동)','SKE','1998','2118','N','Y','','N','N','N',송파구
334,'현대주유소','서울 양천구 남부순환로 372 (신월동)','SOL','1577','1819','Y','Y','','N','N','N',양천구
335,'양천구주유소','서울 양천구 국회대로 275 (목동)','RTO','1594','1825','Y','Y','','Y','N','Y',양천구
336,'형산석유(주)원주유소','서울 양천구 남부순환로 408','HDO','1594','1839','N','Y','','Y','N','Y',양천구
337,'개나리Self주유소','서울 양천구 남부순환로 442 (신월동)','SKE','1599','1854','Y','Y','','Y','N','N',양천구
338,'현대오일뱅크(주)직영 양정주유소','서울 양천구 국회대로 158 (신정동)','HDO','1599','1814','N','N','','N','N','N',양천구
339,'(주)타이거오일 신정주유소','서울 양천구 중앙로 226 (신정동)','SKE','1609','1849','Y','N','','N','N','N',양천구
340,'신월주유소','서울 양천구 신월로 193 (신월동)','GSC','1619','1869','Y','N','','N','N','N',양천구
341,'지에스칼텍스㈜ 서호주유소','서울 양천구 남부순환로 317','GSC','1620','1831','Y','Y','','Y','N','Y',양천구
342,'SK에너지(주) 경인주유소','서울 양천구 국회대로 170 (신정동)','SKE','1636','1829','Y','Y','','N','N','N',양천구
343,'신정동주유소','서울 양천구 안양천로 663 (신정동)','HDO','1637','1857','Y','Y','','N','Y','N',양천구
344,'현대오일뱅크(주)직영 양천셀프주유소','서울 양천구 목동로 17','HDO','1639','1824','Y','Y','','N','N','N',양천구
345,'삼미상사(주)신월IC셀프주유소','서울 양천구 중앙로 331 (신월동)','SKE','1639','1869','Y','N','','Y','N','N',양천구
346,'가로공원주유소','서울 양천구 가로공원로 165 (신월동)','SKE','1639','1869','N','Y','','N','N','Y',양천구
347,'SK에너지(주) 신평','서울 양천구 목동남로 62','SKE','1644','1849','N','Y','','Y','N','N',양천구
348,'지에스이앤알 직영 서울주유소','서울 양천구 신정로 236 (신정동)','GSC','1659','1859','N','Y','','N','N','N',양천구
349,'현대오일뱅크㈜직영 목동셀프주유소','서울 양천구 공항대로 648 (목동)','HDO','1677','1865','Y','N','','N','N','N',양천구
350,'현대오일뱅크(주)직영 신목동셀프주유소','서울 양천구 목동동로10길 13','HDO','1679','1855','Y','Y','','Y','N','N',양천구
351,'현대오일뱅크(주)직영 양천현대셀프주유소','서울 양천구 안양천로 1179 (목동)','HDO','1682','1865','Y','Y','','Y','Y','Y',양천구
352,'목동주유소','서울 양천구 목동중앙로 125 (목동)','SKE','1687','1872','Y','Y','','N','N','N',양천구
353,'(주)삼표에너지 목동주유소','서울 양천구 목동서로 129 (목동)','GSC','1687','1872','Y','Y','','N','N','N',양천구
354,'지에스칼텍스㈜ 건지주유소','서울 양천구 안양천로 1171 (목동)','GSC','1687','1872','Y','Y','','N','N','N',양천구
