index,Name,Address,Brand,Gasoline_P,Diesel_P,SELF_YN,CWASH_YN,LPG_YN,MAINT_YN,CVS_YN,SEL24_YN,Area,Lat,Lng
0,(주)보성 세곡주유소,서울 강남구  헌릉로 731 (세곡동),SKE,1663,1839,Y,Y,N,N,N,N,강남구,37.4672103,127.1187128
1,현대오일뱅크(주)직영 산성셀프주유소,서울 강남구 헌릉로 730,HDO,1689,1879,Y,Y,N,N,N,N,강남구,37.4664775,127.1190391
2,방죽주유소,서울 강남구 밤고개로 215 (율현동),GSC,1697,1929,Y,Y,N,N,N,N,강남구,37.4749397,127.1068516
3,현대오일뱅크 도곡셀프주유소,서울 강남구  남부순환로 2718 (도곡2동),HDO,1715,1903,Y,Y,N,Y,N,N,강남구,37.4824625,127.0430492
4,오일프러스 셀프,서울 강남구 남부순환로 2651 (도곡동),SKE,1716,1888,Y,Y,N,Y,N,Y,강남구,37.4858004,127.0396751
5,자곡셀프주유소,서울 강남구 밤고개로 120 (자곡동),SKE,1727,1932,Y,Y,N,N,N,N,강남구,37.4835321,127.1039802
6,대교주유소,서울 강남구 강남대로 640 (신사동),SKE,1730,1910,Y,N,N,N,N,N,강남구,37.5280898,127.0355331
7,현대오일뱅크(주) 유진주유소,서울 강남구 논현로 152 (도곡동),HDO,1730,1888,N,Y,N,Y,N,N,강남구,37.4873906,127.0399951
8,일원주유소,서울 강남구 양재대로55길 3 (일원동),SOL,1747,1999,Y,N,N,N,N,N,강남구,37.4922459,127.0881366
9,(주)중앙에너비스 수서지점,서울 강남구 광평로 202 (수서동),SKE,1747,1947,Y,Y,N,N,N,N,강남구,37.4839933,127.0949776
10,SK에너지㈜ 진달래주유소,서울 강남구 도곡로 208,SKE,1769,1939,N,Y,N,N,N,N,강남구,37.4922037,127.0419554
11,SK서광주유소,서울 강남구 역삼로 142,SKE,1775,1880,Y,Y,N,N,N,Y,강남구,37.4943462,127.0350659
12,(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),SOL,1779,1969,N,Y,N,Y,N,N,강남구,37.4877835,127.0466763
13,SK에너지(주) 매봉주유소,서울 강남구 언주로 307,SKE,1779,1999,Y,Y,N,Y,N,N,강남구,37.4948481,127.0458254
14,지에스칼텍스㈜에너지플러스허브GS타워,서울 강남구 논현로 516 (역삼동),GSC,1784,1978,N,N,N,Y,N,Y,강남구,37.5026952,127.036474
15,대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),SKE,1797,1977,Y,Y,N,N,N,Y,강남구,37.5226879,127.0252724
16,(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,SKE,1797,1997,Y,Y,N,N,N,Y,강남구,37.5106775,127.0327236
